"host","cert-fqdn","cert-sha1","mozilla-truststore","cert-hostname-match","cert-ev","cert-start","cert-start-unix","cert-end","cert-unix-end","cert-altnames","cert-owner","cert-issuer","cert-sign-type","server-ssl-support","scan-timestamp","scan-timestamp-unix"
"marek.rocks","www.marek.rocks","9e2346ba855d2e1e85541f402e172c7105ea23c0","1","False","False","Nov 24 17:37:31 2015 GMT","1448383051","Nov 24 16:34:28 2016 GMT","1480001668","www.marek.rocks, marek.rocks","NL","Secure Digital Certificate Signing, StartCom Ltd., StartCom Class 1 Primary Intermediate Server CA, IL","rsaEncryption, 4096 bit","tlsv1, tlsv1_1, tlsv1_2","2016-03-29_00-06","1459202813"
"google.com","*.google.com","2ebc3f9bf9194d894965b224aba8b18b377bdb20","1","False","True","Mar 16 18:18:47 2016 GMT","1458148727","Jun  8 17:40:00 2016 GMT","1465404000","*.google.com, *.android.com, *.appengine.google.com, *.cloud.google.com, *.google-analytics.com, *.google.ca, *.google.cl, *.google.co.in, *.google.co.jp, *.google.co.uk, *.google.com.ar, *.google.com.au, *.google.com.br, *.google.com.co, *.google.com.mx, *.google.com.tr, *.google.com.vn, *.google.de, *.google.es, *.google.fr, *.google.hu, *.google.it, *.google.nl, *.google.pl, *.google.pt, *.googleadapis.com, *.googleapis.cn, *.googlecommerce.com, *.googlevideo.com, *.gstatic.cn, *.gstatic.com, *.gvt1.com, *.gvt2.com, *.metric.gstatic.com, *.urchin.com, *.url.google.com, *.youtube-nocookie.com, *.youtube.com, *.youtubeeducation.com, *.ytimg.com, android.clients.google.com, android.com, g.co, goo.gl, google-analytics.com, google.com, googlecommerce.com, urchin.com, www.goo.gl, youtu.be, youtube.com, youtubeeducation.com","Google Inc, Mountain View, California, US","Google Inc, Google Internet Authority G2, US","rsaEncryption, 2048 bit","tlsv1_1, sslv3, tlsv1, tlsv1_2","2016-03-29_00-06","1459202813"
"amazon.com","www.amazon.com","5c003b1a9aecef9e41eba5e8a5061a85200fd4ad","1","False","True","Nov 17 00:00:00 2015 GMT","1447714800","Dec 30 23:59:59 2016 GMT","1483138799","amazon.com, amzn.com, uedata.amazon.com, us.amazon.com, www.amazon.com, www.amzn.com","Amazon.com, Inc., Seattle, Washington, US","Symantec Trust Network, Symantec Corporation, Symantec Class 3 Secure Server CA - G4, US","rsaEncryption, 2048 bit","tlsv1, tlsv1_1, tlsv1_2","2016-03-29_00-06","1459202813"
"facebook.com","*.facebook.com","a04eafb348c26b15a8c1aa87a333caa3cdeec9c9","1","False","True","Aug 28 00:00:00 2014 GMT","1409180400","Dec 30 12:00:00 2016 GMT","1483095600","*.facebook.com, *.facebook.net, *.fb.com, *.fbcdn.net, *.fbsbx.com, *.m.facebook.com, *.messenger.com, *.xx.fbcdn.net, *.xy.fbcdn.net, *.xz.fbcdn.net, facebook.com, fb.com, messenger.com","Facebook, Inc., Menlo Park, CA, US","www.digicert.com, DigiCert Inc, DigiCert SHA2 High Assurance Server CA, US","id-ecPublicKey, 256 bit","tlsv1, tlsv1_1, tlsv1_2","2016-03-29_00-06","1459202813"
